,k,QQ,x_b,t,phi_x,F,errF,ReH,ReE,ReHt,dvcs
0,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,0.0,0.21811693906784058,0.0062870793044567,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
1,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,10.0,0.20585636794567108,0.0060480207204818,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
2,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,20.0,0.17492803931236267,0.0054380841553211,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
3,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,30.0,0.13724683225154877,0.0046775866299867,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
4,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,40.0,0.10208004713058472,0.0039424549788236,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
5,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,50.0,0.07338248193264008,0.0033139996230602,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
6,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,60.0,0.051531147211790085,0.0028078217059373,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
7,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,70.0,0.035443276166915894,0.0024107869714498,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
8,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,80.0,0.023760955780744553,0.002102305740118,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
9,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,90.0,0.015302829444408417,0.0018629908561706,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
10,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,100.0,0.009164275601506233,0.0016770910471677,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
11,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,110.0,0.004690743982791901,0.0015325611457228,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
12,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,120.0,0.0014210976660251617,0.0014204340055584,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
13,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,130.0,-0.0009653391316533089,0.0013341223821043,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
14,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,140.0,-0.0026898784562945366,0.0012688338756561,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
15,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,150.0,-0.003903709352016449,0.0012211291119456,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
16,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,160.0,-0.004707961343228817,0.0011886075139045,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
17,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,170.0,-0.005166884511709213,0.0011696905829012,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
18,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,180.0,-0.005316064693033695,0.0011634815484285,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
19,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,190.0,-0.005166884511709213,0.0011696906760334,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
20,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,200.0,-0.004707961343228817,0.0011886076070368,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
21,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,210.0,-0.003903709352016449,0.0012211292050778,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
22,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,220.0,-0.0026898784562945366,0.0012688336893916,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
23,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,230.0,-0.0009653391316533089,0.0013341223821043,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
24,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,240.0,0.0014210976660251617,0.0014204340055584,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
25,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,250.0,0.0046907346695661545,0.0015325605869293,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
26,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,260.0,0.009164275601506233,0.0016770910471677,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
27,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,270.0,0.015302829444408417,0.0018629908561706,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
28,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,280.0,0.023760955780744553,0.002102306112647,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
29,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,290.0,0.0354432575404644,0.0024107862263917,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
30,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,300.0,0.0515311174094677,0.0028078217059373,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
31,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,310.0,0.07338246703147888,0.0033139996230602,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
32,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,320.0,0.10207994282245636,0.0039424523711204,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
33,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,330.0,0.13724681735038757,0.0046775866299867,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
34,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,340.0,0.1749279797077179,0.0054380841553211,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
35,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,350.0,0.2058563381433487,0.0060480196028947,0.0005132154328748584,0.008627967908978462,-0.04528641328215599,-0.01630232110619545
36,2.75,1.0544300079345703,0.536279022693634,-0.4522559940814972,360.0,0.2181169092655182,0.0062870793044567,0.0005132181104272604,0.00862796138972044,-0.04528642073273659,-0.0163023229688406
