set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHt,ReEt,ImH,ImE,ImHt,ImEt,dvcs,F_true
1,0,5.75,1.82,0.343,-0.172,7.5,0.113237,0.00499261,0.04409,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.11511
1,1,5.75,1.82,0.343,-0.172,22.5,0.111495,0.00443748,0.0398,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.110881
1,2,5.75,1.82,0.343,-0.172,37.5,0.100762,0.00424006,0.04208,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.103478
1,3,5.75,1.82,0.343,-0.172,52.5,0.0961192,0.0040447,0.04208,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0944557
1,4,5.75,1.82,0.343,-0.172,67.5,0.0849277,0.00346675,0.04082,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0852378
1,5,5.75,1.82,0.343,-0.172,82.5,0.0811181,0.00346293,0.04269,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.076783
1,6,5.75,1.82,0.343,-0.172,97.5,0.0717791,0.0033327,0.04643,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0695734
1,7,5.75,1.82,0.343,-0.172,112.5,0.0583896,0.00276592,0.04737,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0637559
1,8,5.75,1.82,0.343,-0.172,127.5,0.0608682,0.00292167,0.048,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0592962
1,9,5.75,1.82,0.343,-0.172,142.5,0.0581145,0.00292316,0.0503,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0560891
1,10,5.75,1.82,0.343,-0.172,157.5,0.0460083,0.00232342,0.0505,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0540232
1,11,5.75,1.82,0.343,-0.172,172.5,0.050616,0.00252574,0.0499,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0530129
1,12,5.75,1.82,0.343,-0.172,187.5,0.0547436,0.00272021,0.04969,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0530129
1,13,5.75,1.82,0.343,-0.172,202.5,0.0598724,0.00283615,0.04737,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0540232
1,14,5.75,1.82,0.343,-0.172,217.5,0.0542466,0.00271721,0.05009,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0560891
1,15,5.75,1.82,0.343,-0.172,232.5,0.0555935,0.00265904,0.04783,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0592962
1,16,5.75,1.82,0.343,-0.172,247.5,0.0624109,0.00294455,0.04718,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0637559
1,17,5.75,1.82,0.343,-0.172,262.5,0.0717532,0.00327482,0.04564,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0695734
1,18,5.75,1.82,0.343,-0.172,277.5,0.0695542,0.00303743,0.04367,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.076783
1,19,5.75,1.82,0.343,-0.172,292.5,0.0834381,0.00354945,0.04254,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0852378
1,20,5.75,1.82,0.343,-0.172,307.5,0.094451,0.00375065,0.03971,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.0944557
1,21,5.75,1.82,0.343,-0.172,322.5,0.101951,0.00405458,0.03977,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.103478
1,22,5.75,1.82,0.343,-0.172,337.5,0.114951,0.00482678,0.04199,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.110881
1,23,5.75,1.82,0.343,-0.172,352.5,0.112797,0.00476567,0.04225,-2.56464,2.21195,1.39564,141.316,3.39541,0,1.56463,0,0.0315875,0.11511
2,0,5.75,1.933,0.368,-0.232,7.5,0.0798726,0.00523485,0.06554,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0805012
2,1,5.75,1.933,0.368,-0.232,22.5,0.0752171,0.00486805,0.06472,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0764529
2,2,5.75,1.933,0.368,-0.232,37.5,0.0605232,0.00376697,0.06224,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0697255
2,3,5.75,1.933,0.368,-0.232,52.5,0.0679057,0.003654,0.05381,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0621047
2,4,5.75,1.933,0.368,-0.232,67.5,0.0522419,0.00304988,0.05838,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0549207
2,5,5.75,1.933,0.368,-0.232,82.5,0.0483993,0.00302351,0.06247,-2.48378,2.05692,1.17942,98.0629,2.88286,0,1.41042,0,0.0227145,0.0488236
