set,ReH_inside,ReHt_inside,ReE_inside,dvcs_inside,all_CFFs_consistent
21,False,False,False,False,False
22,False,False,False,False,False
23,False,False,False,False,False
24,True,True,True,True,True
25,True,True,True,True,True
26,False,False,False,False,False
27,False,False,False,False,False
28,False,False,False,True,False
29,True,True,False,True,False
30,True,True,True,True,True
31,False,False,False,False,False
32,True,False,False,True,False
33,False,True,True,True,False
34,True,True,True,True,True
35,True,True,True,True,True
36,False,True,False,True,False
37,False,False,False,True,False
38,False,True,False,True,False
39,True,True,True,True,True
40,True,True,True,True,True
41,False,True,False,True,False
42,True,True,True,True,True
43,True,True,True,True,True
44,True,True,True,True,True
45,True,True,True,True,True
46,True,True,True,True,True
47,True,True,True,True,True
48,True,True,True,True,True
49,True,True,True,True,True
50,True,True,True,True,True
51,True,True,False,True,False
52,True,True,True,True,True
53,True,True,True,True,True
54,True,True,True,True,True
55,True,True,True,True,True
56,True,True,False,True,False
57,True,True,False,True,False
58,True,True,True,True,True
59,True,True,True,True,True
60,True,True,True,True,True
61,True,True,False,True,False
62,True,True,False,True,False
63,True,True,False,True,False
64,True,True,True,True,True
