,k,QQ,x_b,t,phi_x,F,std_F,ReE,std_ReE,ReHt,std_ReHt,dvcs,std_dvcs
0,2.5,1.0,0.24,-1.0,0.0,-0.02258577197790145,0.005323758096229339,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
1,2.5,1.0,0.24,-1.0,15.0,-0.02620674483478065,0.005321490068943829,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
2,2.5,1.0,0.24,-1.0,30.0,-0.03514726832509035,0.005314085394496054,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
3,2.5,1.0,0.24,-1.0,45.0,-0.04561337828636165,0.005301420266518536,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
4,2.5,1.0,0.24,-1.0,60.0,-0.0548835583031177,0.005285420269152558,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
5,2.5,1.0,0.24,-1.0,75.0,-0.06202761456370345,0.005268898704536322,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
6,2.5,1.0,0.24,-1.0,90.0,-0.0671662092208862,0.005253983988519519,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
7,2.5,1.0,0.24,-1.0,105.0,-0.070742942392826,0.005241708718890751,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
8,2.5,1.0,0.24,-1.0,120.0,-0.07318628951907155,0.005232273093180364,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
9,2.5,1.0,0.24,-1.0,135.0,-0.07481774315237995,0.005225466377145875,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
10,2.5,1.0,0.24,-1.0,150.0,-0.07585343345999715,0.005220946127643062,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
11,2.5,1.0,0.24,-1.0,165.0,-0.07642712816596031,0.005218375169883888,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
12,2.5,1.0,0.24,-1.0,180.0,-0.07661082223057745,0.005217542769625807,-0.1368598416447639,0.030034128740090534,-0.26522246003150934,0.032834502332411995,-0.08599634468555445,0.005220277046422952
13,2.5,1.0,0.24,-0.92,0.0,0.0015191026031971,0.007331144002174254,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
14,2.5,1.0,0.24,-0.92,15.0,-0.0035156384110450996,0.007329136758513941,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
15,2.5,1.0,0.24,-0.92,30.0,-0.0159118399024009,0.007322129844949082,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
16,2.5,1.0,0.24,-0.92,45.0,-0.030354641377925852,0.0073093698865624454,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
17,2.5,1.0,0.24,-0.92,60.0,-0.04307548329234115,0.007292605977567247,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
18,2.5,1.0,0.24,-0.92,75.0,-0.05282217822968955,0.0072748700568782175,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
19,2.5,1.0,0.24,-0.92,90.0,-0.0597934909164905,0.007258609275887182,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
20,2.5,1.0,0.24,-0.92,105.0,-0.06462053209543225,0.007245064332446984,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
21,2.5,1.0,0.24,-0.92,120.0,-0.0679025389254093,0.007234564498811683,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
22,2.5,1.0,0.24,-0.92,135.0,-0.0700852498412132,0.007226930650875108,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
23,2.5,1.0,0.24,-0.92,150.0,-0.0714665539562702,0.007221825613849245,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
24,2.5,1.0,0.24,-0.92,165.0,-0.07223005965352056,0.0072189174813019836,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
25,2.5,1.0,0.24,-0.92,180.0,-0.0724742487072944,0.007217974445566523,-0.1359975710511207,0.02828339079979648,-0.25935841351747513,0.03338471890300961,-0.08458843082189554,0.007215213826989128
